file_name,variable_name,readable_name,data_type,nullable,measurement_unit,allowed_values,observed_range,example,definition,synonyms,description,source
metadata.csv,path,Path,object,No,N/A,-,-,msg5170347760-65580.jpg,-,-,Relative path to image file.,Generated during dataset export pipeline
metadata.csv,label,Label,object,No,N/A,-,-,orange_ripe,-,-,Combined label consisting of item name and freshness condition.,Generated during dataset export pipeline
metadata.csv,category,Category,object,No,N/A,"fruit, vegetable",-,fruit,-,-,General category of object (fruit or vegetable).,Generated during dataset export pipeline
metadata.csv,split,Split,object,No,N/A,"test, train, val",-,train,-,-,"Dataset split used for machine learning (train, validation, test).",Generated during dataset export pipeline
metadata.csv,augmented,Augmented,bool,No,N/A,-,0.000 – 1.000,False,-,-,Indicates whether the image was synthetically augmented.,Generated during dataset export pipeline
metadata.csv,item,Item,object,No,N/A,"banana, chili, mango, orange, paprika, tomato",-,orange,-,-,Specific object/item name.,Generated during dataset export pipeline
metadata.csv,condition,Condition,object,No,N/A,"ripe, rotten, unripe",-,ripe,-,-,Freshness or ripeness condition.,Generated during dataset export pipeline
extracted_features.csv,red_mean,Red Mean,float64,No,N/A,-,20.029 – 253.188,162.1564,-,-,Average red channel intensity.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
extracted_features.csv,green_mean,Green Mean,float64,No,N/A,-,4.468 – 251.166,166.3821,-,-,Average green channel intensity.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
extracted_features.csv,blue_mean,Blue Mean,float64,No,N/A,-,1.629 – 248.415,155.3146,-,-,Average blue channel intensity.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
extracted_features.csv,gr_ratio,Gr Ratio,float64,No,N/A,-,0.090 – 1.648,1.0261,-,-,Ratio between green and red channel intensity.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
extracted_features.csv,hue_mean,Hue Mean,float64,No,N/A,-,1.274 – 144.280,87.1728,-,-,Average hue value in HSV color space.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
extracted_features.csv,hue_std,Hue Std,float64,No,N/A,-,1.710 – 86.616,36.9873,-,-,Standard deviation of hue values.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
extracted_features.csv,saturation_mean,Saturation Mean,float64,No,N/A,-,4.268 – 249.570,71.4854,-,-,Average saturation value in HSV color space.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
extracted_features.csv,saturation_std,Saturation Std,float64,No,N/A,-,13.181 – 119.454,67.9563,-,-,Standard deviation of saturation values.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
extracted_features.csv,value_mean,Value Mean,float64,No,N/A,-,25.120 – 253.206,181.6153,-,-,Average brightness value in HSV color space.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
extracted_features.csv,value_std,Value Std,float64,No,N/A,-,7.511 – 103.595,34.8459,-,-,Standard deviation of brightness values.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
extracted_features.csv,lbp_mean,Lbp Mean,float64,No,N/A,-,0.100 – 0.100,0.1,-,-,Average Local Binary Pattern texture feature value.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
extracted_features.csv,lbp_std,Lbp Std,float64,No,N/A,-,0.024 – 0.259,0.0441,-,-,Standard deviation of Local Binary Pattern texture values.,Extracted using OpenCV RGB/HSV statistics and skimage LBP
